Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Land Surface Temperature,EN.LND.LTMP.DC,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.7817124,31.1579017,30.9697648,31.0309941,29.7196674,30.2808315,30.156513,30.5307907,30.1574954,30.6559623,30.2191188,30.0308522,30.0313501,30.0943848,30.4055895,30.2197366,31.2807044,30.4695218,31.1567378,31.5319637,31.2818252,30.6575292,..
Land Surface Temperature,EN.LND.LTMP.DC,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.6869368,26.0623353,26.0630109,26.0628926,26.1874715,26.1865909,25.9376509,25.8111349,26.0627796,26.3125877,26.5618927,26.1873178,26.4375124,26.0624614,26.187132,26.6892679,26.8118896,26.3126362,26.0623534,26.3120216,26.5625895,26.1874846,..
Land Surface Temperature,EN.LND.LTMP.DC,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.0644061,30.3127165,30.5637463,30.1895073,30.0595473,30.0599991,29.9366852,29.5601644,29.8122016,30.0623831,29.4380543,29.9356204,30.0634669,30.437034,30.5615933,31.0625412,30.0645468,29.6885407,29.9395926,30.5643212,30.6867453,30.1855751,..
Land Surface Temperature,EN.LND.LTMP.DC,Honduras,HND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.6873588,27.3126677,27.3104397,27.4375896,26.6877999,27.3122479,26.9369002,27.0611506,27.0614997,27.3115001,27.3116963,27.4362345,26.8106742,27.3108172,27.1882333,27.3117703,27.8111517,27.1872537,27.3121328,28.186605,28.3111216,27.4375775,..
Land Surface Temperature,EN.LND.LTMP.DC,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.844049,16.1566528,18.9068885,17.9694013,16.4687925,15.8431162,17.0318159,20.0315243,18.1557671,19.0312065,15.718662,18.7188009,19.4059567,18.6561614,19.0926014,19.7815209,18.4063739,18.3431993,19.2185649,19.0925344,18.8436928,18.6557123,..
Land Surface Temperature,EN.LND.LTMP.DC,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.18824141,1.18753847,1.81340926,3.81224728,2.81367189,1.93775277,2.43776583,2.31274289,1.43667014,1.56208224,2.56310074,1.31160796,2.56063074,0.81145361,1.31239677,0.31209811,2.68686842,2.43747373,1.4370871,2.68756412,1.06176285,2.43856423,..
Land Surface Temperature,EN.LND.LTMP.DC,India,IND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.749808,33.7515607,33.7534865,33.3756866,33.2483983,33.251224,33.124805,33.1258523,32.8749385,33.7540385,33.248998,32.6255724,33.2509598,32.6251325,32.7502237,32.7485085,33.7488876,33.3755332,32.7504196,32.7497783,31.8756492,31.8746559,..
Land Surface Temperature,EN.LND.LTMP.DC,Indonesia,IDN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.3745672,27.3747378,27.3732726,27.3742351,27.1252043,27.1247671,27.3736587,27.1249939,27.1250657,27.6245548,27.3747584,27.3744219,27.6239626,27.6238141,27.6238801,27.8718215,27.8739298,27.6247446,27.8740659,27.8731431,27.8739402,27.6245108,..
Land Surface Temperature,EN.LND.LTMP.DC,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.1262023,35.3766344,34.6265501,33.6258466,34.3761348,34.1259956,34.3756561,33.6259233,34.1254915,33.3755308,35.1258237,34.1254654,33.6253118,34.6256612,34.3760991,34.6258924,35.37578,35.3760113,35.1258498,33.8744217,33.8745975,36.1253434,..
Land Surface Temperature,EN.LND.LTMP.DC,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.1229241,36.6212787,36.1223333,35.8732786,35.3753798,35.3759072,34.6258762,35.123503,35.1236471,35.1238231,36.3734144,34.6236602,35.6250318,34.6234142,35.8740914,35.6232009,36.3743743,36.3739098,35.8746157,36.6226752,37.6273083,38.1250696,..
